county,State,total_claims,opioid_claims,extended_release_opioid_claims,year,Annual Average Pay,dispensaries_cnt,unemployment,opioid_related,Population,deaths
Santa Fe County,NM,993992,86286,2124,2015,43370,,5.4,TRUE,148686,38
Albany County,NY,2530799,147960,3984,2015,54226,,4.3,TRUE,309381,16
Broome County,NY,1861638,124181,5528,2015,40514,,6,TRUE,196567,12
Dutchess County,NY,1615151,88965,2312,2015,50693,,4.5,TRUE,295754,49
Erie County,NY,8648514,510916,24118,2015,46169,1,5.3,TRUE,922578,150
Kings County,NY,17960401,409211,7933,2015,44049,2,5.9,TRUE,2636735,168
Monroe County,NY,6772589,316031,8872,2015,49170,1,5.1,TRUE,749600,65
Nassau County,NY,9169862,389685,13374,2015,58548,1,4.2,TRUE,1361350,149
New York County,NY,15177977,610313,21289,2015,113682,5,4.9,TRUE,1644518,102
Niagara County,NY,1796356,76514,2675,2015,39836,,6.2,TRUE,212652,31
Oneida County,NY,2486873,115497,3991,2015,40523,,5.3,TRUE,232500,25
Orange County,NY,2086724,119443,3670,2015,43803,,4.7,TRUE,377647,64
Oswego County,NY,680750,29920,676,2015,42357,,7.2,TRUE,120146,10
Queens County,NY,12754035,277774,5205,2015,49325,1,5,TRUE,2339150,101
Richmond County,NY,2766790,118097,5127,2015,45751,,5.8,TRUE,474558,58
Rockland County,NY,1582203,67362,1749,2015,55165,,4.5,TRUE,326037,12
Sullivan County,NY,344263,23564,846,2015,38745,,5.4,TRUE,74877,10
Ulster County,NY,1086340,57007,2155,2015,40671,,4.8,TRUE,180143,15
Westchester County,NY,5823020,208404,4950,2015,69701,1,4.5,TRUE,976396,74
Brunswick County,NC,965696,71078,2928,2015,36721,,7.3,TRUE,122765,23
Forsyth County,NC,4302948,308292,12025,2015,49423,,5.5,TRUE,369019,47
New Hanover County,NC,2515644,223946,10487,2015,41471,,5.4,TRUE,220358,36
Randolph County,NC,1273524,74365,2547,2015,34245,,5.7,TRUE,142799,27
Butler County,OH,2996623,240980,8719,2015,46219,,4.6,TRUE,376353,144
Clark County,OH,1394057,75004,755,2015,36989,,5,TRUE,135959,40
Clermont County,OH,860736,52511,1484,2015,42381,,4.5,TRUE,201973,86
Cuyahoga County,OH,10425645,662316,15101,2015,53547,,5.2,TRUE,1255921,209
Franklin County,OH,9092397,672435,17130,2015,52822,1,4.1,TRUE,1251722,213
Greene County,OH,872085,70382,3477,2015,51411,,4.4,TRUE,164427,13
Lake County,OH,1588007,97840,3023,2015,43109,,4.5,TRUE,229245,36
Lawrence County,OH,438320,29681,564,2015,33762,,5.9,TRUE,61109,26
Lucas County,OH,4757476,369881,10698,2015,45429,1,5.3,TRUE,433689,97
Mahoning County,OH,2842068,201835,4098,2015,37007,,6.1,TRUE,231900,51
Medina County,OH,854160,51916,882,2015,40270,,4.1,TRUE,176395,15
Montgomery County,OH,6309378,472951,11856,2015,44899,1,5,TRUE,532258,149
Portage County,OH,812936,46084,851,2015,42355,1,4.9,TRUE,162275,15
Richland County,OH,1067652,63374,1258,2015,36031,,5.6,TRUE,121707,23
Ross County,OH,691205,56955,1044,2015,42531,,5.3,TRUE,77170,31
Scioto County,OH,1189368,68649,1807,2015,35745,,7.6,TRUE,76825,10
Warren County,OH,1216608,74921,1826,2015,45720,,4.1,TRUE,224469,15
Wood County,OH,849370,45028,928,2015,42651,,4.3,TRUE,129730,24
Tulsa County,OK,6697317,676236,32482,2015,48794,,4.1,TRUE,639242,49
Clackamas County,OR,2013444,179887,9660,2015,48856,,5.1,TRUE,401515,11
Lane County,OR,3050641,302833,18497,2015,40828,2,5.8,TRUE,362895,26
Washington County,OR,2849296,230668,13683,2015,65620,1,4.7,TRUE,574326,30
Allegheny County,PA,12945517,912880,34748,2015,57681,1,5,TRUE,1230459,326
Beaver County,PA,1521762,82755,2178,2015,42126,,6,TRUE,168871,11
Berks County,PA,2931409,150466,3547,2015,46977,1,4.9,TRUE,415271,11
Bucks County,PA,4066125,246692,8528,2015,49385,,4.7,TRUE,627367,13
Butler County,PA,1632792,105163,4916,2015,48664,,4.7,TRUE,186818,30
Cambria County,PA,1848302,123719,4363,2015,36777,,6.6,TRUE,136411,20
Crawford County,PA,906546,69806,3282,2015,37272,,5.2,TRUE,86484,10
Delaware County,PA,4121762,251657,8944,2015,56232,1,4.9,TRUE,563894,30
Erie County,PA,2862908,198465,6314,2015,40887,1,5.5,TRUE,278045,21
Fayette County,PA,1345437,73441,2133,2015,36088,,7.5,TRUE,133628,30
Lawrence County,PA,1012696,63622,2144,2015,38822,1,6.3,TRUE,88082,29
Montgomery County,PA,7118772,429315,14287,2015,65500,2,4.2,TRUE,819264,89
Northampton County,PA,2664079,162011,3901,2015,45480,1,5.3,TRUE,300813,41
Schuylkill County,PA,1675015,79847,1360,2015,38917,,6.3,TRUE,144590,10
Washington County,PA,2141514,116349,2353,2015,54383,,5.6,TRUE,208261,53
York County,PA,3427489,189267,7237,2015,44898,,4.8,TRUE,442867,36
Charleston County,SC,2467921,218990,7477,2015,45694,,4.9,TRUE,389262,43
Richland County,SC,2772827,178236,6536,2015,44651,,5.7,TRUE,407051,32
Davidson County,TN,5551431,517395,22061,2015,56121,,4.4,TRUE,678889,111
Rutherford County,TN,1606731,119249,5870,2015,46024,,4.5,TRUE,298612,41
Bexar County,TX,10010109,785766,20387,2015,47201,,3.8,TRUE,1897753,89
Collin County,TX,3130221,231485,7232,2015,61631,,3.6,TRUE,914127,20
Dallas County,TX,12458556,976704,22668,2015,63735,,4.3,TRUE,2553385,125
Denton County,TX,2408450,157679,4301,2015,47176,,3.6,TRUE,780612,25
El Paso County,TX,4186134,248665,3250,2015,36498,,5.2,TRUE,835593,23
Harris County,TX,21804177,1447077,34446,2015,69027,,4.6,TRUE,4538028,214
Nueces County,TX,3053078,247693,4242,2015,45818,,4.9,TRUE,359715,32
Tarrant County,TX,10719951,835705,22891,2015,52686,,4.2,TRUE,1982498,71
Travis County,TX,4443697,383089,14721,2015,59789,,3.3,TRUE,1176558,71
Webb County,TX,1399620,60420,727,2015,34827,,4.7,TRUE,269721,13
Davis County,UT,1092808,82181,2698,2015,41372,,3.4,TRUE,336043,44
Utah County,UT,1740404,151551,6464,2015,41618,,3.3,TRUE,575205,81
Weber County,UT,984356,104716,5478,2015,38896,,4.1,TRUE,243645,52
Chittenden County,VT,944889,81219,5503,2015,50570,,2.7,TRUE,161382,10
Chesterfield County,VA,1676731,99766,1651,2015,44477,,4.3,TRUE,335687,15
Fairfax County,VA,2593001,160195,7184,2015,80942,,3.6,TRUE,1142234,56
Hanover County,VA,823706,60763,1948,2015,40470,,3.9,TRUE,103227,10
Prince William County,VA,509262,38629,1773,2015,44966,,4.1,TRUE,451721,22
Spotsylvania County,VA,467231,24133,883,2015,38162,,4.6,TRUE,130475,10
Chesapeake city,VA,919759,53104,473,2015,,,4.5,TRUE,235429,27
Hampton city,VA,619284,49881,1775,2015,,,6,TRUE,136454,11
Newport News city,VA,1145220,99063,3303,2015,,,5.4,TRUE,182385,10
Norfolk city,VA,1942706,134879,4649,2015,,,5.6,TRUE,246393,29
Virginia Beach city,VA,1533698,136462,3157,2015,,,4.3,TRUE,452745,32
Clark County,WA,2399878,197129,10150,2015,47739,1,6.5,TRUE,459495,25
King County,WA,10162872,765849,43119,2015,72450,3,4.3,TRUE,2117125,175
Snohomish County,WA,3330741,277372,15416,2015,56128,,4.6,TRUE,772501,82
Whatcom County,WA,1274404,105156,6464,2015,42501,,6,TRUE,212284,12
Dane County,WI,3037030,221219,12700,2015,52037,,3.2,TRUE,523643,51
Kenosha County,WI,929789,61903,1923,2015,41632,,5.1,TRUE,168437,33
Racine County,WI,1257221,73772,1132,2015,45795,,5.6,TRUE,195080,28
Rock County,WI,1204698,87157,2569,2015,41927,,5.2,TRUE,161448,24
Baldwin County,AL,1654683,164568,6380,2015,33883,,5.6,TRUE,203709,13
Mobile County,AL,4718388,456153,13824,2015,44674,,7,TRUE,415395,15
Kenai Peninsula Borough,AK,231167,25186,1933,2015,49045,,7.8,TRUE,58059,10
Cochise County,AZ,751731,58113,3061,2015,42690,,7.2,TRUE,126427,13
Mohave County,AZ,1804490,178662,11659,2015,35661,1,7.9,TRUE,204737,21
Pinal County,AZ,1235322,79463,2606,2015,39747,2,6.3,TRUE,406584,22
Benton County,AR,1561178,121964,3363,2015,54849,,3.8,TRUE,249672,15
Garland County,AR,1528613,124837,2825,2015,34272,,5.5,TRUE,97177,13
Pulaski County,AR,4534028,446001,17467,2015,46876,,4.6,TRUE,392664,15
Sebastian County,AR,1949183,141849,3950,2015,40443,,4.8,TRUE,127780,12
Butte County,CA,2007153,212618,9847,2015,38786,1,7.1,TRUE,225411,12
Fresno County,CA,5556507,425211,16004,2015,40790,6,10.2,TRUE,974861,43
Humboldt County,CA,1051375,106931,7241,2015,37327,,5.6,TRUE,135727,16
Lake County,CA,488002,55822,3373,2015,35258,,7.6,TRUE,64591,14
Madera County,CA,593882,38446,677,2015,39718,,10.5,TRUE,154998,10
Merced County,CA,1331908,96289,3346,2015,38769,,11.3,TRUE,268455,16
San Joaquin County,CA,4348799,330946,11703,2015,43405,2,8.9,TRUE,726106,25
San Luis Obispo County,CA,1682392,109587,3303,2015,43100,2,4.7,TRUE,281401,16
San Mateo County,CA,3157217,175576,6366,2015,102776,6,3.4,TRUE,765135,13
Solano County,CA,1892941,169620,9402,2015,53453,4,6.1,TRUE,436092,10
Stanislaus County,CA,4238814,375100,16040,2015,43756,2,9.5,TRUE,538388,12
Larimer County,CO,1642768,160484,7977,2015,47202,,3.3,TRUE,333577,14
Weld County,CO,995996,79113,3010,2015,46613,,3.9,TRUE,285174,12
Clay County,FL,1091534,119282,6976,2015,35934,,5,TRUE,203967,26
Polk County,FL,5268895,360478,9260,2015,39364,,6.3,TRUE,650092,11
Santa Rosa County,FL,906167,68033,1135,2015,35187,,4.8,TRUE,167040,12
Carroll County,GA,1124813,89277,2739,2015,39358,,6.7,TRUE,114545,10
Chatham County,GA,2634453,205444,5980,2015,44396,,5.8,TRUE,286956,11
Clayton County,GA,1063196,87647,2451,2015,48990,,7.6,TRUE,273955,10
Douglas County,GA,597563,31537,1123,2015,35573,,6.3,TRUE,140733,10
Paulding County,GA,361923,35392,1759,2015,34034,,5.2,TRUE,152238,16
Richmond County,GA,2609482,182712,3322,2015,43313,,7.4,TRUE,201793,17
Ada County,ID,2586320,271764,14156,2015,45312,,3.7,TRUE,434211,10
Madison County,IN,1364634,116183,2578,2015,35950,,5.7,TRUE,129723,10
Johnson County,KS,3600194,282764,10974,2015,54235,,3.4,TRUE,580159,16
Shawnee County,KS,1579966,113569,3494,2015,42274,,4.3,TRUE,178725,10
Bell County,KY,665881,57620,291,2015,32388,,8.5,TRUE,27337,13
Boyd County,KY,1049948,75793,1344,2015,46196,,6.9,TRUE,48325,11
Floyd County,KY,856154,76564,392,2015,37299,,9.2,TRUE,37756,13
Pike County,KY,1304273,94157,881,2015,40920,,9.3,TRUE,61792,16
Androscoggin County,ME,1190497,107550,5106,2015,39483,,4.1,TRUE,107233,13
Kennebec County,ME,985841,85715,5770,2015,39847,2,4.2,TRUE,119980,12
York County,ME,1116100,90161,5792,2015,41312,1,3.9,TRUE,201169,19
Worcester County,MD,406356,25483,1136,2015,32012,,10.6,TRUE,51540,10
Ottawa County,MI,1434482,102939,4910,2015,44298,,3.6,TRUE,279955,11
Dakota County,MN,1326592,75221,1760,2015,51382,,3.3,TRUE,414686,11
Clay County,MO,1773787,127167,3761,2015,47142,,4.5,TRUE,235637,11
Douglas County,NE,3526831,248108,7746,2015,49092,,3.4,TRUE,550064,15
Carson City,NV,538755,43790,2478,2015,47257,,7.3,TRUE,54521,12
Dona Ana County,NM,,,,2015,36259,,7.3,TRUE,214295,13
Burke County,NC,895768,75198,3667,2015,34899,,5.6,TRUE,88842,24
Carteret County,NC,650771,43639,1603,2015,31141,,5.9,TRUE,68879,10
Catawba County,NC,2367741,215901,8485,2015,40056,,5.5,TRUE,155056,11
Cleveland County,NC,1287958,81565,1145,2015,36595,,6.4,TRUE,96879,11
Craven County,NC,1053289,80479,3056,2015,40967,,6.1,TRUE,103451,11
Davidson County,NC,1183876,67465,1291,2015,36429,,5.6,TRUE,164622,12
Henderson County,NC,1221706,87040,3340,2015,36916,,4.8,TRUE,112655,10
Johnston County,NC,1291847,86460,4483,2015,36461,,5.2,TRUE,185660,15
Onslow County,NC,566832,41111,1282,2015,32521,,5.9,TRUE,186311,10
Robeson County,NC,1352956,114846,4767,2015,31611,,8.5,TRUE,134197,11
Union County,NC,1003885,69514,2012,2015,40767,,4.9,TRUE,222742,10
Wilkes County,NC,686573,34112,277,2015,34010,,5.7,TRUE,68502,19
Cleveland County,OK,1012008,96983,3082,2015,38190,,3.5,TRUE,274458,13
Muskogee County,OK,644173,53028,1550,2015,39252,,5.1,TRUE,69699,12
Oklahoma County,OK,6354702,636349,28247,2015,50107,,3.9,TRUE,776864,41
Marion County,OR,2357542,180833,8839,2015,41563,1,6,TRUE,330700,10
Cumberland County,PA,2153618,118207,2590,2015,47404,,4,TRUE,246338,19
Dauphin County,PA,2407109,157458,5852,2015,52342,,4.7,TRUE,272983,14
Franklin County,PA,1199241,68470,2613,2015,40147,,5,TRUE,153638,12
Indiana County,PA,817350,40052,1256,2015,43622,,6.3,TRUE,86966,10
Lackawanna County,PA,3156423,183380,5449,2015,39515,,5.8,TRUE,211917,20
Lancaster County,PA,4433133,244138,8070,2015,43416,1,4.1,TRUE,536624,24
Monroe County,PA,902269,58161,2079,2015,40796,,6.5,TRUE,166397,12
Kent County,RI,1518555,80925,1928,2015,45262,,5.6,TRUE,164801,20
Aiken County,SC,1173625,78122,3494,2015,47371,,5.9,TRUE,165829,24
Anderson County,SC,1806891,145618,3647,2015,37026,,5.4,TRUE,194692,22
Berkeley County,SC,501377,24155,306,2015,47246,,5.5,TRUE,202786,10
Dorchester County,SC,692642,47414,1946,2015,35025,,5.5,TRUE,152478,16
Horry County,SC,2799586,221968,7495,2015,31211,,7.1,TRUE,309199,24
Lexington County,SC,1638368,117648,5475,2015,39262,,4.9,TRUE,281833,30
Oconee County,SC,764944,70318,1152,2015,46372,,5.8,TRUE,75713,11
Pickens County,SC,949687,77524,2553,2015,37606,,5.8,TRUE,121691,19
Spartanburg County,SC,3106500,293202,6868,2015,44184,,5.7,TRUE,297302,20
York County,SC,1276158,85090,2839,2015,41144,,5.5,TRUE,251195,13
Anderson County,TN,797172,60820,1998,2015,53594,,5.8,TRUE,75749,13
Blount County,TN,1083119,86560,4756,2015,44646,,5.1,TRUE,127253,13
Campbell County,TN,699364,41936,1266,2015,32255,,7.9,TRUE,39752,12
Cheatham County,TN,294301,15970,298,2015,39302,,4.8,TRUE,39741,13
Dickson County,TN,537321,47792,3481,2015,36441,,5.4,TRUE,51487,11
Hamilton County,TN,4537976,461225,23599,2015,47359,,5.3,TRUE,354098,26
Hawkins County,TN,482902,34101,718,2015,37728,,6.4,TRUE,56471,10
Maury County,TN,1017912,83879,3740,2015,42162,,5.1,TRUE,87757,10
Montgomery County,TN,739522,89376,7418,2015,35801,,5.8,TRUE,193479,19
Roane County,TN,725097,55169,1750,2015,58204,,6.4,TRUE,52753,11
Robertson County,TN,553406,38230,1760,2015,37235,,4.9,TRUE,68570,10
Sevier County,TN,753689,55923,1514,2015,28664,,6,TRUE,95946,11
Sullivan County,TN,3126691,282195,10243,2015,45638,,5.7,TRUE,156791,14
Sumner County,TN,1611844,174721,9444,2015,41066,,4.6,TRUE,175989,11
Washington County,TN,2555404,229232,12116,2015,38896,,5.5,TRUE,126302,12
Williamson County,TN,938502,118721,8684,2015,60855,,4,TRUE,211672,12
Wilson County,TN,867213,95712,5770,2015,41559,,4.6,TRUE,128911,18
Montgomery County,TX,2187289,156661,3511,2015,52443,,4.2,TRUE,537559,15
Nacogdoches County,TX,726490,56095,968,2015,35909,,4.7,TRUE,65664,10
Washington County,UT,930710,107141,6109,2015,32513,,4.1,TRUE,155602,19
Benton County,WA,1135733,120098,7462,2015,51733,3,6.7,TRUE,190309,13
Thurston County,WA,1460606,132943,7088,2015,46760,,6,TRUE,269536,11
Boone County,WV,202674,15735,103,2015,45898,,9.7,TRUE,23372,14
Logan County,WV,592579,38872,124,2015,40665,,11.2,TRUE,34707,14
McDowell County,WV,95255,9124,100,2015,39941,,12.8,TRUE,19835,19
Mingo County,WV,140333,8283,34,2015,44035,,13.2,TRUE,25292,11
Wyoming County,WV,309471,26526,52,2015,46162,,9.7,TRUE,22151,21
Fremont County,WY,245491,14992,606,2015,40280,,5.5,TRUE,40315,10
New Castle County,DE,3074974,260307,13776,2011,57344,3,7.3,TRUE,541971,68
Norfolk County,MA,4137623,214199,7026,2011,56268,4,6.3,TRUE,675436,34
Genesee County,MI,4198577,387566,9619,2011,40092,,11.4,TRUE,422080,65
Broward County,FL,12970777,718003,26803,2011,44469,3,9.4,TRUE,1780172,102
Hampden County,MA,3857745,257312,10371,2011,43318,2,9.5,TRUE,463783,30
Kanawha County,WV,2630250,232491,4865,2011,42024,,7.1,TRUE,192315,69
Worcester County,MA,6379403,360790,13099,2011,48217,2,7.8,TRUE,801227,43
Lincoln County,WV,167757,7751,23,2011,37476,,10.7,TRUE,21550,22
Will County,IL,2495351,158441,3948,2011,41977,2,10.6,TRUE,681545,15
Middlesex County,MA,7510360,376368,11564,2011,71004,5,5.9,TRUE,1518171,77
Washtenaw County,MI,2897809,264156,9320,2011,49733,,6.8,TRUE,347962,11
Logan County,WV,592579,38872,124,2011,42735,,8.9,TRUE,36457,30
Wayne County,MI,13374890,1101073,24344,2011,52805,2,12.9,TRUE,1802096,165
Anoka County,MN,1446176,99489,2170,2011,44480,,6.8,TRUE,333140,11
Jefferson County,MO,1263815,97994,3091,2011,32238,,8.8,TRUE,219480,53
Mercer County,WV,925826,66219,452,2011,33041,,8.6,TRUE,62465,46
St. Charles County,MO,1862725,128670,2935,2011,38066,,6.9,TRUE,365151,70
Raleigh County,WV,1229890,85632,1396,2011,39480,,7.2,TRUE,79127,69
St. Louis County,MO,11468593,749416,20465,2011,50390,,7.8,TRUE,998692,192
Winnebago County,IL,2441206,204088,7252,2011,40698,1,11.9,TRUE,293993,13
St. Louis city,MO,2837824,225533,6538,2011,,,10.3,TRUE,318069,149
Marion County,IN,7759238,702972,23291,2011,48994,,9.9,TRUE,911296,40
Campbell County,KY,564703,34697,683,2011,35938,,8.3,TRUE,90940,12
Clark County,NV,10594811,945059,53650,2011,42519,15,13.2,TRUE,1969975,250
Rockingham County,NH,1170804,80284,3583,2011,45785,,5.6,TRUE,296207,30
Jefferson County,KY,7816682,640882,16623,2011,46319,,9.5,TRUE,746906,63
Hillsborough County,NH,2292593,157853,5371,2011,52708,,5.6,TRUE,401696,38
Baltimore County,MD,5050413,412618,24119,2011,48980,1,7.7,TRUE,809941,57
Prince George's County,MD,,,,2011,51119,,7.5,TRUE,871233,23
Baltimore city,MD,3889540,310364,9814,2011,,2,10.6,TRUE,619493,64
District of Columbia,DC,2447977,149697,2945,2011,,1,10.2,TRUE,617996,34
Bristol County,MA,5264206,280831,11795,2011,43019,3,9.3,TRUE,548922,32
Essex County,MA,4986073,254667,11316,2011,50890,3,7.6,TRUE,748930,27
Cabell County,WV,2032267,171942,5304,2011,37699,,7.1,TRUE,96653,41
Macomb County,MI,6217706,531210,16860,2011,48816,4,11.1,TRUE,842145,95
Kenton County,KY,1229571,133765,5598,2011,45177,,8.8,TRUE,160406,24
Lake County,IL,3053971,176334,4974,2011,61370,,8.8,TRUE,706222,47
Suffolk County,MA,6662401,405356,15910,2011,78495,1,6.7,TRUE,730932,33
Hamilton County,OH,8303714,608375,17154,2011,51948,1,8.9,TRUE,800362,123
Multnomah County,OR,5557271,491044,26174,2011,48688,7,8.3,TRUE,748031,172
Ingham County,MI,2434220,227491,7232,2011,45060,,8.8,TRUE,281613,21
Maricopa County,AZ,22402246,1914935,99512,2011,46951,32,8.6,TRUE,3880244,250
Los Angeles County,CA,67165128,3111853,78462,2011,54420,38,12.2,TRUE,9889056,356
San Diego County,CA,15974904,1017536,38307,2011,52494,11,10.3,TRUE,3140069,274
Ventura County,CA,3774991,253059,8578,2011,49354,3,10.2,TRUE,831771,98
Hartford County,CT,6360690,342745,9511,2011,59690,2,9.2,TRUE,894705,48
New Haven County,CT,6016421,384978,13048,2011,50474,,9.7,TRUE,861113,61
Citrus County,FL,1364717,117472,6474,2011,35028,,12.5,TRUE,140031,22
Hernando County,FL,2282601,213597,14021,2011,31149,,12.5,TRUE,173094,27
Lake County,FL,3420216,236497,13860,2011,32373,,10.6,TRUE,301019,36
Marion County,FL,3510791,273104,13669,2011,33475,,12.3,TRUE,332529,24
Miami-Dade County,FL,32375973,828999,14273,2011,46438,1,9.4,TRUE,2554766,59
Palm Beach County,FL,10799861,658379,26641,2011,46322,3,10,TRUE,1335187,75
Pasco County,FL,4667856,384944,22195,2011,33342,,10.8,TRUE,466457,62
Pinellas County,FL,10016909,719898,32591,2011,42370,4,9.7,TRUE,917398,81
Fulton County,GA,6504224,501773,18403,2011,64430,,10.2,TRUE,949599,60
Cook County,IL,30147006,1544375,26230,2011,56471,6,10.5,TRUE,5217080,57
Madison County,IL,2291791,157816,2568,2011,39427,,8.9,TRUE,268459,45
Ramsey County,MN,3643103,244591,8627,2011,53668,,6.6,TRUE,514696,22
Kent County,MI,5205492,465138,23391,2011,42214,2,8.2,TRUE,608453,13
Monmouth County,NJ,4300881,251176,7392,2011,49434,,8.6,TRUE,631020,72
Erie County,NY,8648514,510916,24118,2011,41814,1,8,TRUE,918028,58
Summit County,OH,4886077,393170,13065,2011,43069,1,9.1,TRUE,539832,37
Trumbull County,OH,1823185,123711,1841,2011,38505,,10.7,TRUE,209264,49
Lane County,OR,3050641,302833,18497,2011,36781,2,9.7,TRUE,353416,44
Bernalillo County,NM,3706689,335595,13262,2011,41928,,7.2,TRUE,670968,74
Washington County,OR,2849296,230668,13683,2011,56608,1,7.7,TRUE,540410,40
Orange County,FL,6976219,511367,19496,2011,42058,,9.8,TRUE,1169107,95
Greenville County,SC,4965023,407466,11334,2011,41261,,8.6,TRUE,461299,53
Salt Lake County,UT,4434686,405092,20040,2011,44973,,6.6,TRUE,1048985,151
Henrico County,VA,1912507,128239,3203,2011,48846,,6.7,TRUE,310445,25
Richmond city,VA,1722146,113233,3274,2011,,,8.5,TRUE,205533,28
Spokane County,WA,3591276,326401,15070,2011,39930,,9.7,TRUE,473761,37
Milwaukee County,WI,7892929,769431,41652,2011,47688,,9.3,TRUE,952532,139
Waukesha County,WI,2832137,169477,5786,2011,46927,,6.5,TRUE,390730,42
Anne Arundel County,MD,1888614,152469,7418,2011,51239,2,6.3,TRUE,544403,38
Santa Fe County,NM,993992,86286,2124,2011,40449,,6.2,TRUE,145648,23
Bronx County,NY,8996434,253117,5318,2011,45284,1,11.9,TRUE,1392002,56
Dutchess County,NY,1615151,88965,2312,2011,48782,,7.5,TRUE,297999,23
St. Clair County,IL,1937167,140212,3695,2011,41147,,9.8,TRUE,270259,11
Jefferson County,AL,9111863,728322,17176,2011,47949,,9.3,TRUE,658931,37
Pima County,AZ,6779426,541215,30559,2011,41357,3,8.5,TRUE,989569,106
Kern County,CA,4774392,342456,10461,2011,41836,3,14.8,TRUE,851710,31
Riverside County,CA,12054835,868895,29283,2011,39055,14,13.2,TRUE,2239620,92
San Bernardino County,CA,10923096,857763,26772,2011,40654,9,12.9,TRUE,2065377,41
San Francisco County,CA,5058002,271625,14410,2011,80675,8,,TRUE,812826,75
Denver County,CO,2940173,264051,9687,2011,59401,4,,TRUE,619968,64
Fairfield County,CT,5082046,288229,9717,2011,82882,3,8.2,TRUE,925899,11
New London County,CT,1627021,107314,2680,2011,48666,,8.8,TRUE,273502,12
DuPage County,IL,5175585,317133,7386,2011,55710,1,8.2,TRUE,923222,41
Atlantic County,NJ,1873877,163401,5134,2011,41214,,12.5,TRUE,274338,14
Middlesex County,NJ,4432610,196742,5013,2011,58899,,8.7,TRUE,814217,46
Ocean County,NJ,3805137,219363,6283,2011,39182,,10.4,TRUE,579369,15
Kings County,NY,17960401,409211,7933,2011,39557,2,9.6,TRUE,2532645,67
Nassau County,NY,9169862,389685,13374,2011,53956,1,6.8,TRUE,1344436,83
New York County,NY,15177977,610313,21289,2011,101343,5,7.8,TRUE,1601948,55
Queens County,NY,12754035,277774,5205,2011,45176,1,8.1,TRUE,2247848,68
Richmond County,NY,2766790,118097,5127,2011,40962,,9.2,TRUE,470467,51
Suffolk County,NY,7640390,358279,9691,2011,52434,,7.6,TRUE,1498816,208
Westchester County,NY,5823020,208404,4950,2011,64541,1,7.1,TRUE,955899,53
Mecklenburg County,NC,6811093,554665,21947,2011,56086,,9.9,TRUE,944373,42
New Hanover County,NC,2515644,223946,10487,2011,39472,,9.6,TRUE,206189,23
Clark County,OH,1394057,75004,755,2011,34542,,9.5,TRUE,137691,28
Clermont County,OH,860736,52511,1484,2011,38321,,9.1,TRUE,199139,34
Cuyahoga County,OH,10425645,662316,15101,2011,48745,,7.6,TRUE,1270294,156
Franklin County,OH,9092397,672435,17130,2011,47540,1,7.8,TRUE,1178799,150
Lake County,OH,1588007,97840,3023,2011,41813,,6.8,TRUE,229885,39
Mahoning County,OH,2842068,201835,4098,2011,34522,,9.8,TRUE,237270,40
Montgomery County,OH,6309378,472951,11856,2011,41881,1,9.7,TRUE,537602,36
Stark County,OH,4092154,270045,6090,2011,36925,,9.3,TRUE,375087,29
Clackamas County,OR,2013444,179887,9660,2011,43362,,8.9,TRUE,380207,29
Allegheny County,PA,12945517,912880,34748,2011,51118,1,7.1,TRUE,1227066,180
Berks County,PA,2931409,150466,3547,2011,42609,1,7.9,TRUE,412778,14
Bucks County,PA,4066125,246692,8528,2011,45807,,7.3,TRUE,626854,16
Delaware County,PA,4121762,251657,8944,2011,50949,1,7.8,TRUE,559494,14
Montgomery County,PA,7118772,429315,14287,2011,59276,2,6.5,TRUE,804210,55
Philadelphia County,PA,13067834,842186,23650,2011,56594,1,,TRUE,1536471,10
Bexar County,TX,10010109,785766,20387,2011,43195,,7.2,TRUE,1756153,135
Collin County,TX,3130221,231485,7232,2011,54855,,6.7,TRUE,812226,33
Dallas County,TX,12458556,976704,22668,2011,58013,,8.1,TRUE,2416014,81
Denton County,TX,2408450,157679,4301,2011,41786,,6.6,TRUE,686406,10
Harris County,TX,21804177,1447077,34446,2011,62019,,7.8,TRUE,4180894,190
Nueces County,TX,3053078,247693,4242,2011,40653,,7.9,TRUE,343281,39
Tarrant County,TX,10719951,835705,22891,2011,47420,,7.6,TRUE,1849815,57
Travis County,TX,4443697,383089,14721,2011,52845,,6.4,TRUE,1063130,44
Webb County,TX,1399620,60420,727,2011,32276,,7.4,TRUE,256496,11
Utah County,UT,1740404,151551,6464,2011,37363,,6.3,TRUE,530499,74
Weber County,UT,984356,104716,5478,2011,35187,,7.8,TRUE,234420,51
Fairfax County,VA,2593001,160195,7184,2011,76204,,4.8,TRUE,1100692,31
Norfolk city,VA,1942706,134879,4649,2011,,,8.3,TRUE,242628,22
Clark County,WA,2399878,197129,10150,2011,42754,1,11.7,TRUE,433418,37
Cowlitz County,WA,924750,92776,5781,2011,39843,1,11.9,TRUE,102478,13
King County,WA,10162872,765849,43119,2011,63265,3,7.9,TRUE,1969722,97
Pierce County,WA,4126525,346328,18590,2011,43026,2,10.1,TRUE,807904,60
Snohomish County,WA,3330741,277372,15416,2011,50819,,9.5,TRUE,722400,110
Dane County,WI,3037030,221219,12700,2011,46003,,5.3,TRUE,495959,52
Kenosha County,WI,929789,61903,1923,2011,37328,,9,TRUE,167293,10
Madison County,AL,2517669,300014,10468,2011,53147,,8.3,TRUE,340111,11
Anchorage Borough,AK,,,,2011,51718,,,TRUE,295570,20
