,NPPES Provider ZIP Code,NPPES Provider State,total_claims,opioid_claims,extended_release_opioid_claims,zipcode,county
8070,20164,VA,13600,812,72,20164,['Loudoun County']
8071,94518,CA,12594,1171,43,94518,['Contra Costa County']
8072,28284,NC,506,220,0,28284,['Mecklenburg County']
8073,9636,AE,1559,907,0,09636,[None]
8074,23123,VA,112377,8050,329,23123,['Buckingham County']
8075,75063,TX,67762,4314,17,75063,['Dallas County']
8076,92673,CA,171782,9326,450,92673,['Orange County']
8077,11720,NY,55880,2810,0,11720,['Suffolk County']
8078,15342,PA,25212,788,15,15342,['Washington County']
8079,81132,CO,60791,4930,122,81132,['Rio Grande County']
8080,88045,NM,47434,4850,265,88045,['Hidalgo County']
8081,51360,IA,143863,7141,81,51360,['Dickinson County']
8082,29108,SC,267456,12245,76,29108,['Newberry County']
8083,59803,MT,10069,1294,51,59803,['Missoula County']
8084,32214,FL,21516,1533,0,32214,[None]
8085,33301,FL,44529,4059,217,33301,['Broward County']
8086,99022,WA,58453,3651,217,99022,['Spokane County']
8087,93313,CA,20308,808,0,93313,['Kern County']
8088,11764,NY,39244,1198,46,11764,['Suffolk County']
8089,31791,GA,111021,7033,13,31791,['Worth County']
8090,30038,GA,44454,2944,34,30038,['DeKalb County']
8091,72210,AR,10345,908,0,72210,['Pulaski County']
8092,95691,CA,121607,8955,635,95691,['Yolo County']
8093,38555,TN,731086,41419,1298,38555,['Cumberland County']
8094,20906,MD,170918,5060,19,20906,['Montgomery County']
8095,39428,MS,158168,9828,155,39428,['Covington County']
8096,83622,ID,13205,1014,42,83622,['Boise County']
8097,67864,KS,33332,1881,53,67864,['Meade County']
8098,79124,TX,173582,26136,745,79124,['Potter County']
8099,75254,TX,25788,2628,0,75254,['Dallas County']
8100,97391,OR,25716,2007,104,97391,['Lincoln County']
8101,87801,NM,59099,6860,201,87801,['Socorro County']
8102,15728,PA,50116,1685,50,15728,['Indiana County']
8103,2492,MA,102276,3341,56,02492,['Norfolk County']
8104,11782,NY,25154,836,0,11782,['Suffolk County']
8105,95821,CA,170229,36918,3387,95821,['Sacramento County']
8106,44046,OH,610,27,0,44046,['Geauga County']
8107,55987,MN,302621,17207,393,55987,['Winona County']
8108,37069,TN,50086,2272,58,37069,['Williamson County']
8109,19512,PA,65073,1547,0,19512,['Berks County']
8110,60021,IL,70357,1939,24,60021,['McHenry County']
8111,96768,HI,16150,2563,198,96768,['Maui County']
8112,26801,WV,38463,1631,12,26801,['Hardy County']
8113,11793,NY,57812,1969,0,11793,['Nassau County']
8114,93648,CA,33942,2177,0,93648,['Fresno County']
